hour,minutes,week,isNonstop,isOnlyOnSchooldays
7,4,0,0,0
7,33,0,0,0
8,3,0,0,0
8,48,0,0,0
9,13,0,0,0
9,28,0,0,0
10,4,0,0,0
10,23,0,0,0
10,42,0,0,0
11,3,0,0,0
11,19,0,0,0
11,35,0,0,0
11,51,0,0,0
12,10,0,0,0
12,20,0,0,1
12,30,0,0,0
12,40,0,0,1
12,50,0,0,0
13,4,0,0,0
13,24,0,0,0
13,44,0,0,0
14,4,0,0,0
14,24,0,0,0
14,37,0,0,0
14,41,0,0,1
14,45,0,0,1
14,50,0,0,0
15,9,0,0,0
15,36,0,0,1
15,51,0,0,0
16,10,0,1,1
16,15,0,0,0
16,20,0,0,1
16,24,0,0,1
16,28,0,0,1
16,36,0,0,0
16,51,0,0,0
17,5,0,0,0
17,15,0,0,1
17,25,0,0,0
17,43,0,0,0
17,55,0,1,1
17,59,0,0,0
18,3,0,0,1
18,8,0,0,1
18,14,0,0,0
18,34,0,0,0
18,50,0,0,0
19,10,0,0,0
19,40,0,0,0
19,55,0,0,0
20,10,0,0,0
20,35,0,0,0
21,20,0,0,0
21,49,0,0,0
22,19,0,0,0
7,49,1,0,0
8,19,1,0,0
8,39,1,0,0
8,58,1,0,0
9,17,1,0,0
9,37,1,0,0
9,57,1,0,0
10,17,1,0,0
10,37,1,0,0
10,57,1,0,0
11,17,1,0,0
11,37,1,0,0
11,57,1,0,0
12,17,1,0,0
12,37,1,0,0
12,57,1,0,0
13,17,1,0,0
13,37,1,0,0
13,57,1,0,0
14,17,1,0,0
14,37,1,0,0
14,57,1,0,0
15,17,1,0,0
15,37,1,0,0
15,57,1,0,0
16,17,1,0,0
16,37,1,0,0
16,57,1,0,0
17,17,1,0,0
17,37,1,0,0
17,57,1,0,0
19,44,1,0,0
21,30,1,0,0
7,59,2,0,0
8,41,2,0,0
9,9,2,0,0
9,41,2,0,0
10,11,2,0,0
10,41,2,0,0
11,11,2,0,0
11,41,2,0,0
12,11,2,0,0
12,41,2,0,0
13,11,2,0,0
13,41,2,0,0
14,11,2,0,0
14,41,2,0,0
15,11,2,0,0
15,41,2,0,0
16,11,2,0,0
16,41,2,0,0
17,11,2,0,0
7,59,3,0,0
8,41,3,0,0
9,9,3,0,0
9,41,3,0,0
10,11,3,0,0
10,41,3,0,0
11,11,3,0,0
11,41,3,0,0
11,50,3,0,0
12,11,3,0,0
12,20,3,0,0
12,30,3,0,0
12,41,3,0,0
13,11,3,0,0
13,41,3,0,0
14,11,3,0,0
14,41,3,0,0
14,45,3,0,0
14,50,3,0,0
15,11,3,0,0
15,41,3,0,0
16,11,3,0,0
16,15,3,0,0
16,25,3,0,0
16,30,3,0,0
16,41,3,0,0
17,11,3,0,0
17,20,3,0,0
17,30,3,0,0
17,40,3,0,0
17,50,3,0,0
18,0,3,0,0
18,10,3,0,0
18,20,3,0,0
18,30,3,0,0
20,0,3,0,0
