hour,minutes,week,isNonstop,isOnlyOnSchooldays
6,35,0,0,0
7,1,0,0,0
7,44,0,0,0
8,10,0,0,0
9,5,0,0,1
9,18,0,0,0
9,30,0,0,1
9,45,0,0,0
10,40,0,0,0
11,3,0,0,0
11,40,0,0,0
12,39,0,0,0
13,7,0,0,0
13,43,0,0,0
14,41,0,0,0
15,20,0,0,0
16,25,0,0,1
16,31,0,0,0
16,49,0,0,0
17,10,0,0,0
17,38,0,0,0
18,1,0,0,0
18,10,0,0,0
18,30,0,0,0
19,36,0,0,0
19,45,0,0,1
20,16,0,0,0
20,45,0,0,1
21,30,0,0,0
22,31,0,0,0
7,4,1,0,0
7,46,1,0,0
8,10,1,0,0
9,14,1,0,0
9,48,1,0,0
10,48,1,0,0
11,49,1,0,0
12,42,1,0,0
13,48,1,0,0
14,39,1,0,0
15,22,1,0,0
15,35,1,0,0
16,28,1,0,0
17,2,1,0,0
17,29,1,0,0
18,12,1,0,0
19,41,1,0,0
20,51,1,0,0
22,8,1,0,0
7,46,2,0,0
9,48,2,0,0
10,27,2,0,0
11,37,2,0,0
12,29,2,0,0
13,37,2,0,0
14,46,2,0,0
15,51,2,0,0
17,2,2,0,0
17,49,2,0,0
18,13,2,0,0
19,31,2,0,0
20,40,2,0,0
22,2,2,0,0
7,46,3,0,0
9,48,3,0,0
10,27,3,0,0
11,37,3,0,0
12,0,3,0,0
12,29,3,0,0
12,40,3,0,0
13,37,3,0,0
14,46,3,0,0
15,51,3,0,0
16,20,3,0,0
17,2,3,0,0
17,49,3,0,0
17,55,3,0,0
18,13,3,0,0
19,31,3,0,0
19,45,3,0,0
20,40,3,0,0
21,30,3,0,0
22,2,3,0,0
