hour,minutes,week,isNonstop,isOnlyOnSchooldays
6,35,0,0,0
7,23,0,0,0
7,55,0,0,0
8,8,0,0,0
8,13,0,0,1
8,18,0,0,1
8,22,0,0,0
8,26,0,1,1
8,29,0,1,1
8,32,0,1,1
8,35,0,0,0
8,40,0,1,1
8,45,0,0,1
8,55,0,0,0
9,15,0,0,0
9,25,0,0,1
9,35,0,0,0
9,47,0,0,1
9,55,0,0,0
10,0,0,0,1
10,5,0,1,1
10,10,0,0,1
10,15,0,0,0
10,25,0,0,1
10,35,0,0,0
10,43,0,0,1
10,55,0,0,0
11,15,0,0,0
11,35,0,0,0
11,50,0,0,0
12,5,0,0,0
12,20,0,0,0
12,30,0,0,0
12,35,0,1,1
12,50,0,0,0
13,10,0,0,0
13,35,0,0,0
13,50,0,0,0
14,5,0,0,0
14,20,0,0,0
14,40,0,0,0
15,5,0,0,0
15,20,0,0,0
15,35,0,0,0
15,50,0,0,0
16,5,0,0,0
16,20,0,0,0
16,35,0,0,0
16,50,0,0,0
17,5,0,0,0
17,20,0,0,0
17,35,0,0,0
17,50,0,0,0
18,5,0,0,0
18,20,0,0,0
18,35,0,0,0
18,50,0,0,0
19,5,0,0,0
19,20,0,0,0
19,35,0,0,0
19,50,0,0,0
20,10,0,0,0
20,30,0,0,0
20,50,0,0,0
21,20,0,0,0
21,50,0,0,0
23,1,0,0,0
8,0,1,0,0
8,14,1,0,0
8,28,1,0,0
8,44,1,0,0
9,2,1,0,0
9,20,1,0,0
9,38,1,0,0
9,55,1,0,0
10,10,1,0,0
10,30,1,0,0
10,50,1,0,0
11,10,1,0,0
11,30,1,0,0
11,50,1,0,0
12,10,1,0,0
12,30,1,0,0
12,50,1,0,0
13,10,1,0,0
13,30,1,0,0
13,50,1,0,0
14,10,1,0,0
14,30,1,0,0
14,50,1,0,0
15,10,1,0,0
15,30,1,0,0
15,50,1,0,0
16,10,1,0,0
16,30,1,0,0
16,50,1,0,0
17,10,1,0,0
17,30,1,0,0
17,50,1,0,0
21,0,1,0,0
8,5,2,0,0
8,33,2,0,0
8,50,2,0,0
9,10,2,0,0
9,40,2,0,0
10,10,2,0,0
10,40,2,0,0
11,10,2,0,0
11,40,2,0,0
12,10,2,0,0
12,40,2,0,0
13,10,2,0,0
13,40,2,0,0
14,10,2,0,0
14,40,2,0,0
15,10,2,0,0
15,40,2,0,0
16,10,2,0,0
16,40,2,0,0
17,10,2,0,0
8,5,3,0,0
8,10,3,0,0
8,15,3,0,0
8,20,3,0,0
8,25,3,0,0
8,30,3,0,0
8,33,3,0,0
8,36,3,0,0
8,40,3,0,0
8,50,3,0,0
8,55,3,0,0
9,10,3,0,0
9,20,3,0,0
9,30,3,0,0
9,40,3,0,0
9,50,3,0,0
9,55,3,0,0
10,0,3,0,0
10,5,3,0,0
10,10,3,0,0
10,20,3,0,0
10,40,3,0,0
11,10,3,0,0
11,40,3,0,0
12,0,3,0,0
12,10,3,0,0
12,20,3,0,0
12,30,3,0,0
12,40,3,0,0
13,10,3,0,0
13,40,3,0,0
14,10,3,0,0
14,40,3,0,0
15,10,3,0,0
15,40,3,0,0
16,10,3,0,0
16,40,3,0,0
17,10,3,0,0
19,10,3,0,0
