hour,minutes,week,isNonstop,isOnlyOnSchooldays
6,20,0,0,0
7,3,0,0,0
7,29,0,0,0
8,20,0,0,0
8,25,0,0,1
8,31,0,0,0
8,34,0,0,1
8,38,0,0,1
9,35,0,0,0
9,55,0,0,0
10,10,0,0,1
10,22,0,0,0
11,10,0,0,0
11,56,0,0,0
12,30,0,0,0
13,2,0,0,0
13,22,0,0,0
13,58,0,0,0
14,15,0,0,0
14,45,0,0,0
15,10,0,0,0
15,58,0,0,0
16,45,0,0,0
17,18,0,0,0
17,38,0,0,0
18,5,0,0,0
18,40,0,0,0
19,5,0,0,0
19,35,0,0,0
20,45,0,0,0
21,50,0,0,0
6,23,1,0,0
7,5,1,0,0
7,29,1,0,0
8,30,1,0,0
9,5,1,0,0
10,5,1,0,0
11,12,1,0,0
12,1,1,0,0
12,25,1,0,0
13,7,1,0,0
14,7,1,0,0
14,39,1,0,0
15,7,1,0,0
15,47,1,0,0
16,21,1,0,0
17,30,1,0,0
18,55,1,0,0
20,9,1,0,0
21,27,1,0,0
7,5,2,0,0
8,10,2,0,0
9,5,2,0,0
9,55,2,0,0
10,55,2,0,0
11,48,2,0,0
12,55,2,0,0
13,30,2,0,0
14,0,2,0,0
15,10,2,0,0
16,21,2,0,0
17,30,2,0,0
18,50,2,0,0
19,59,2,0,0
21,21,2,0,0
7,5,3,0,0
8,10,3,0,0
8,20,3,0,0
8,30,3,0,0
9,5,3,0,0
9,30,3,0,0
9,55,3,0,0
10,10,3,0,0
10,15,3,0,0
10,55,3,0,0
11,48,3,0,0
12,30,3,0,0
12,55,3,0,0
13,30,3,0,0
14,0,3,0,0
15,10,3,0,0
16,21,3,0,0
17,30,3,0,0
18,50,3,0,0
19,59,3,0,0
21,21,3,0,0
